id,name,country,latitude,longitude,FT10,FT16
9503,11C1,UK,55.8877,-3.21072,64,53.5
9506,IP-Alo-0,POR,40.11,-7.47,77.75,69
9507,IP-Coa-0,POR,38.45,-7.5,55,46.66666667
9508,IP-Mos-1,POR,40.04,-7.11,62,60.66666667
9509,IP-Reg-0,POR,39.29,-7.4,64.5,59
9510,IP-Rei-0,POR,38.75,-7.59,59.25,55.75
9511,IP-Vav-0,POR,38.53,-8.02,64.25,55
9512,IP-Vid-1,POR,38.22,-7.84,51.25,40.25
9513,IP-Adc-5,ESP,38.77,-4.07,71.75,63.33333333
9514,IP-Adm-0,ESP,39.15,-4.54,72.5,83.33333333
9515,IP-Ala-0,ESP,39.72,-6.89,56.25,51.25
9516,IP-Ali-1,ESP,39.9,-5.09,67.75,58.66666667
9517,IP-All-0,ESP,42.19,-7.8,64,35.75
9518,IP-Alm-0,ESP,39.88,-0.36,92,87.5
9519,IP-Ang-0,ESP,41.94,2.64,77.25,64.5
9520,IP-Ara-4,ESP,41.7,-3.68,113.5,120.5
9521,IP-Bar-1,ESP,41.43,2.13,69.75,68
9522,IP-Bea-0,ESP,36.52,-5.27,59,60.33333333
9523,IP-Ben-0,ESP,38.37,-2.66,86.75,84.66666667
9524,IP-Ber-0,ESP,42.52,-0.56,97.25,99.66666667
9525,IP-Bis-0,ESP,42.49,0.54,91.75,81.25
9526,IP-Cab-3,ESP,41.54,2.39,65,56.33333333
9527,IP-Cad-0,ESP,40.37,-5.74,86.25,76.5
9528,IP-Cal-0,ESP,40.94,-1.37,105.3333333,89.5
9529,IP-Cap-1,ESP,36.97,-3.36,65,63
9530,IP-Car-1,ESP,38.25,-4.32,90.5,123
9531,IP-Cdc-3,ESP,41.21,-4.54,91,92
9532,IP-Cdo-0,ESP,42.23,-4.64,106,108.6666667
9533,IP-Cem-0,ESP,41.15,-4.32,89,79
9534,IP-Cmo-3,ESP,40.05,-4.65,69.75,65.66666667
9535,IP-Coc-1,ESP,42.31,3.19,93.5,89
9536,IP-Cor-0,ESP,40.83,-2,99,103
